agent,env_id,mode,human,seed,success_rate,mean_reward,std_reward,train_seconds
PPO,MiniGrid-Empty-8x8-v0,sparse,StochasticLow,42,0,0,0,27.95
PPO,MiniGrid-Empty-8x8-v0,sparse,StochasticLow,123,0,0,0,35.88
PPO,MiniGrid-Empty-8x8-v0,sparse,StochasticLow,999,0,0,0,45.38
PPO,MiniGrid-Empty-8x8-v0,sparse,StochasticHigh,42,0,0,0,53.96
PPO,MiniGrid-Empty-8x8-v0,sparse,StochasticHigh,123,0,0,0,41.92
PPO,MiniGrid-Empty-8x8-v0,sparse,StochasticHigh,999,0,0,0,42.33
PPO,MiniGrid-Empty-8x8-v0,sparse,Adversarial,42,0,0,0,39.34
PPO,MiniGrid-Empty-8x8-v0,sparse,Adversarial,123,0,0,0,41.97
PPO,MiniGrid-Empty-8x8-v0,sparse,Adversarial,999,0,0,0,36.93
PPO,MiniGrid-Empty-8x8-v0,sparse,DistanceNoise,42,1,0.9578124999999998,1.1102230246251565e-16,20.45
PPO,MiniGrid-Empty-8x8-v0,sparse,DistanceNoise,123,0,0,0,27.04
PPO,MiniGrid-Empty-8x8-v0,sparse,DistanceNoise,999,0,0,0,34.76
PPO,MiniGrid-Empty-8x8-v0,sparse,Fatigue,42,1,0.9578124999999998,1.1102230246251565e-16,67.85
PPO,MiniGrid-Empty-8x8-v0,sparse,Fatigue,123,0,0,0,69.62
PPO,MiniGrid-Empty-8x8-v0,sparse,Fatigue,999,0,0,0,35.87
PPO,MiniGrid-Empty-8x8-v0,sparse,Realistic,42,1,0.9578124999999998,1.1102230246251565e-16,34.16
PPO,MiniGrid-Empty-8x8-v0,sparse,Realistic,123,0,0,0,41.25
PPO,MiniGrid-Empty-8x8-v0,sparse,Realistic,999,0,0,0,44.8
PPO,MiniGrid-Empty-8x8-v0,naive,StochasticLow,42,1,1.6378125000000001,0.23151673805580447,72.12
PPO,MiniGrid-Empty-8x8-v0,naive,StochasticLow,123,1,1.671328125,0.20469489490458723,79.39
PPO,MiniGrid-Empty-8x8-v0,naive,StochasticLow,999,0,-19.44,0.8236504112789717,59.45
PPO,MiniGrid-Empty-8x8-v0,naive,StochasticHigh,42,0,15.669999999999964,1.356871401423142,50.55
PPO,MiniGrid-Empty-8x8-v0,naive,StochasticHigh,123,0,15.009999999999966,1.642528538564854,38.69
PPO,MiniGrid-Empty-8x8-v0,naive,StochasticHigh,999,0,15.649999999999963,1.1311498574459566,39.7
PPO,MiniGrid-Empty-8x8-v0,naive,Adversarial,42,0,25.60000000000009,3.552713678800501e-15,34.48
PPO,MiniGrid-Empty-8x8-v0,naive,Adversarial,123,0,25.60000000000009,3.552713678800501e-15,48.28
PPO,MiniGrid-Empty-8x8-v0,naive,Adversarial,999,0,25.60000000000009,3.552713678800501e-15,102.13
PPO,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,42,0,-16.92844178,0.5998959600595362,56.89
PPO,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,123,1,1.5296074492863907,0.14317855409359928,48.12
PPO,MiniGrid-Empty-8x8-v0,naive,DistanceNoise,999,0,-16.72125385,1.0437154826493402,45.36
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,42,0,-23.47418726,0.7638258114617865,61.27
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,123,1,1.861328125,0,39.35
PPO,MiniGrid-Empty-8x8-v0,naive,Fatigue,999,0,-23.24547682,0.887848429,53.2
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,42,0,-17.0255735,0.7780215358738731,50.1
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,123,1,1.5485122265282543,0.14479923204626008,44.72
PPO,MiniGrid-Empty-8x8-v0,naive,Realistic,999,1,1.5871048131930878,0.14404978909230806,43.8
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,42,1,1.6085864480972991,0.1716219651282745,42.55
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,123,1,1.6042726879502287,0.18425414273500582,42.84
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticLow,999,0,-17.30550656,0.6787543481305894,46.92
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,42,0,7.834999999999982,0.678435701,40.72
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,123,0,7.504999999999983,0.821264269,39.37
PPO,MiniGrid-Empty-8x8-v0,bayesian,StochasticHigh,999,0,7.8249999999999815,0.5655749287229783,37.38
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,42,0,12.800000000000045,1.7763568394002505e-15,37.02
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,123,0,1.1944397259286939,1.105780493444063,37.44
PPO,MiniGrid-Empty-8x8-v0,bayesian,Adversarial,999,0,12.800000000000045,1.7763568394002505e-15,41.75
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,42,0,-12.51273854,1.2791420237612872,45.06
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,123,1,1.3928129805696243,0.12609950242338638,45.1
PPO,MiniGrid-Empty-8x8-v0,bayesian,DistanceNoise,999,0,-11.76701502,0.7842449848476318,840.3
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,42,1,1.8415012462765241,0.031174226406855535,59.98
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,123,1,1.8415012462765241,0.031174226406855535,57.96
PPO,MiniGrid-Empty-8x8-v0,bayesian,Fatigue,999,0,-22.33277838,0.862707631,58.02
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,42,1,1.3866987185307247,0.1477429366831343,43.39
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,123,1,1.5060819783185144,0.1613985460015495,44.45
PPO,MiniGrid-Empty-8x8-v0,bayesian,Realistic,999,1,1.4343814522771106,0.1662480957730544,42.77
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,42,0,0,0,43.86
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,123,0,0,0,39.2
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticLow,999,0,0,0,41.55
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,42,0,0,0,44.83
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,123,0,0,0,44.4
PPO,MiniGrid-LavaGapS7-v0,sparse,StochasticHigh,999,0,0,0,43.47
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,42,0.2,0.19173469387755102,0.38346938775510203,43.19
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,123,0,0,0,45.58
PPO,MiniGrid-LavaGapS7-v0,sparse,Adversarial,999,0,0,0,46.52
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,42,0.15,0.14380102040816328,0.3423148983987759,44.21
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,123,0,0,0,41.58
PPO,MiniGrid-LavaGapS7-v0,sparse,DistanceNoise,999,0,0,0,41.62
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,42,0,0,0,44.62
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,123,0,0,0,44.37
PPO,MiniGrid-LavaGapS7-v0,sparse,Fatigue,999,0,0,0,44.11
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,42,0,0,0,50.09
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,123,0,0,0,45.77
PPO,MiniGrid-LavaGapS7-v0,sparse,Realistic,999,0,0,0,43.8
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,42,0,0.04,0.066332496,43.32
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,123,0,0.034999999999999996,0.072629195,43.01
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticLow,999,0,0.015000000000000003,0.090967027,46.07
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,42,0,12.159999999999972,1.0632027088001572,51.68
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,123,0,11.359999999999975,1.273734666247248,44.25
PPO,MiniGrid-LavaGapS7-v0,naive,StochasticHigh,999,0,11.999999999999973,0.8966604708583926,43.73
PPO,MiniGrid-LavaGapS7-v0,naive,Adversarial,42,0,19.600000000000012,3.552713678800501e-15,42.69
PPO,MiniGrid-LavaGapS7-v0,naive,Adversarial,123,0,19.600000000000012,3.552713678800501e-15,41.45
PPO,MiniGrid-LavaGapS7-v0,naive,Adversarial,999,0,19.600000000000012,3.552713678800501e-15,10387.06
PPO,MiniGrid-LavaGapS7-v0,naive,DistanceNoise,42,0,-0.015305151,0.1257200777040205,23.6
PPO,MiniGrid-LavaGapS7-v0,naive,DistanceNoise,123,0,0.024979554968983762,0.088129432,31.66
PPO,MiniGrid-LavaGapS7-v0,naive,DistanceNoise,999,0,0.012535659998128116,0.094870668,51.73
PPO,MiniGrid-LavaGapS7-v0,naive,Fatigue,42,0,0.045,0.066895441,82.27
PPO,MiniGrid-LavaGapS7-v0,naive,Fatigue,123,0,0.065,0.04769696,46.77
PPO,MiniGrid-LavaGapS7-v0,naive,Fatigue,999,0,0.09,0.03,24.01
PPO,MiniGrid-LavaGapS7-v0,naive,Realistic,42,0,0.028888904917961054,0.073452054,28.31
PPO,MiniGrid-LavaGapS7-v0,naive,Realistic,123,0,0.050301138200072405,0.074678889,29.14
PPO,MiniGrid-LavaGapS7-v0,naive,Realistic,999,0,0.023624749782020914,0.13026919268852513,28.14
PPO,MiniGrid-LavaGapS7-v0,bayesian,StochasticLow,42,0,0.027836222,0.073593713,21.39
PPO,MiniGrid-LavaGapS7-v0,bayesian,StochasticLow,123,0,0.038022629,0.061736748,23.96
PPO,MiniGrid-LavaGapS7-v0,bayesian,StochasticLow,999,0,0.052233148168738586,0.065335621,24.54
PPO,MiniGrid-LavaGapS7-v0,bayesian,StochasticHigh,42,0,6.079999999999986,0.5316013544000786,23.41
PPO,MiniGrid-LavaGapS7-v0,bayesian,StochasticHigh,123,0,5.679999999999987,0.636867333,21.71
PPO,MiniGrid-LavaGapS7-v0,bayesian,StochasticHigh,999,0,5.531583333333328,1.6008747471952547,20.33
PPO,MiniGrid-LavaGapS7-v0,bayesian,Adversarial,42,0,-0.001278507,0.006392151,22.72
PPO,MiniGrid-LavaGapS7-v0,bayesian,Adversarial,123,0,3.4003769841269786,1.4900419832617842,23.88
PPO,MiniGrid-LavaGapS7-v0,bayesian,Adversarial,999,0,5.888499999999996,2.360100804108918,22.31
PPO,MiniGrid-LavaGapS7-v0,bayesian,DistanceNoise,42,0,0.024058223073968887,0.077761145,23.01
PPO,MiniGrid-LavaGapS7-v0,bayesian,DistanceNoise,123,0,-7.34E-05,0.057053541,21.46
PPO,MiniGrid-LavaGapS7-v0,bayesian,DistanceNoise,999,0,0.018290263,0.030562898474822985,22.45
PPO,MiniGrid-LavaGapS7-v0,bayesian,Fatigue,42,0,0.056543052201184454,0.045265226321742694,24.05
PPO,MiniGrid-LavaGapS7-v0,bayesian,Fatigue,123,0,0.035574615476854754,0.05321117,21.87
PPO,MiniGrid-LavaGapS7-v0,bayesian,Fatigue,999,0,0.048625300258256676,0.065993892,22.48
PPO,MiniGrid-LavaGapS7-v0,bayesian,Realistic,42,0,0.007775462,0.091318131,24.06
PPO,MiniGrid-LavaGapS7-v0,bayesian,Realistic,123,0,0.033719817,0.071357943,24.29
PPO,MiniGrid-LavaGapS7-v0,bayesian,Realistic,999,0,0.038253551,0.075813268,26.22
PPO,MiniGrid-DoorKey-8x8-v0,sparse,StochasticLow,42,0,0,0,28.92
PPO,MiniGrid-DoorKey-8x8-v0,sparse,StochasticLow,123,0,0,0,25.63
PPO,MiniGrid-DoorKey-8x8-v0,sparse,StochasticLow,999,0,0,0,25.98
PPO,MiniGrid-DoorKey-8x8-v0,sparse,StochasticHigh,42,0,0,0,29.42
PPO,MiniGrid-DoorKey-8x8-v0,sparse,StochasticHigh,123,0,0,0,29.49
PPO,MiniGrid-DoorKey-8x8-v0,sparse,StochasticHigh,999,0,0,0,28.95
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Adversarial,42,0,0,0,27.63
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Adversarial,123,0,0,0,26.09
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Adversarial,999,0,0,0,26.77
PPO,MiniGrid-DoorKey-8x8-v0,sparse,DistanceNoise,42,0,0,0,25.46
PPO,MiniGrid-DoorKey-8x8-v0,sparse,DistanceNoise,123,0,0,0,25.62
PPO,MiniGrid-DoorKey-8x8-v0,sparse,DistanceNoise,999,0,0,0,27.3
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Fatigue,42,0,0,0,26.78
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Fatigue,123,0,0,0,26.24
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Fatigue,999,0,0,0,26.33
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Realistic,42,0,0,0,28.3
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Realistic,123,0,0,0,28.16
PPO,MiniGrid-DoorKey-8x8-v0,sparse,Realistic,999,0,0,0,25.91
PPO,MiniGrid-DoorKey-8x8-v0,naive,StochasticLow,42,0,-46.33,11.02438660425166,25.86
PPO,MiniGrid-DoorKey-8x8-v0,naive,StochasticLow,123,0,-34.57,16.090901155622305,30.61
PPO,MiniGrid-DoorKey-8x8-v0,naive,StochasticLow,999,0,-47.96,11.602344590642113,26.03
PPO,MiniGrid-DoorKey-8x8-v0,naive,StochasticHigh,42,0,39.13000000000029,2.219256632298333,24.8
PPO,MiniGrid-DoorKey-8x8-v0,naive,StochasticHigh,123,0,38.370000000000275,2.064243203,27.27
PPO,MiniGrid-DoorKey-8x8-v0,naive,StochasticHigh,999,0,38.24000000000028,1.961224108,24.74
PPO,MiniGrid-DoorKey-8x8-v0,naive,Adversarial,42,0,64.00000000000065,1.4210854715202004e-14,24.49
PPO,MiniGrid-DoorKey-8x8-v0,naive,Adversarial,123,0,64.00000000000065,1.4210854715202004e-14,25.08
PPO,MiniGrid-DoorKey-8x8-v0,naive,Adversarial,999,0,64.00000000000065,1.4210854715202004e-14,24.65
PPO,MiniGrid-DoorKey-8x8-v0,naive,DistanceNoise,42,0,-32.39131559,21.410157662192947,24.6
PPO,MiniGrid-DoorKey-8x8-v0,naive,DistanceNoise,123,0,-48.09066239,5.338038426,22.95
PPO,MiniGrid-DoorKey-8x8-v0,naive,DistanceNoise,999,0,-47.2553725,6.2568916408129045,21.76
PPO,MiniGrid-DoorKey-8x8-v0,naive,Fatigue,42,0,-52.19499172,13.048554073581238,22.46
PPO,MiniGrid-DoorKey-8x8-v0,naive,Fatigue,123,0,-38.87556491,17.69068861747345,25.26
PPO,MiniGrid-DoorKey-8x8-v0,naive,Fatigue,999,0,-38.83000307,21.12062674573738,24.25
PPO,MiniGrid-DoorKey-8x8-v0,naive,Realistic,42,0,-46.16106227,10.08904919270603,22.08
PPO,MiniGrid-DoorKey-8x8-v0,naive,Realistic,123,0,-25.06318988,17.35845836443234,21.87
PPO,MiniGrid-DoorKey-8x8-v0,naive,Realistic,999,0,-38.38050018,14.937350554685041,23.06
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticLow,42,0,-35.74325412,16.491785307601283,23.73
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticLow,123,0,-31.46593826,14.291172902190928,23.14
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticLow,999,0,-28.52647613,16.779406548738386,24.07
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticHigh,42,0,19.237500000000132,1.7649982294609083,21.99
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticHigh,123,0,19.185000000000137,1.032121601362955,22.86
PPO,MiniGrid-DoorKey-8x8-v0,bayesian,StochasticHigh,999,0,14.158916666666752,4.984985185,24.77
