agent,env_id,human,sparse,naive,bayesian
DQN,MiniGrid-DoorKey-8x8-v0,Adversarial,0.0,0.0,0.0
DQN,MiniGrid-DoorKey-8x8-v0,DistanceNoise,0.0,0.0,0.0
DQN,MiniGrid-DoorKey-8x8-v0,Fatigue,0.0,0.0,0.0
DQN,MiniGrid-DoorKey-8x8-v0,Realistic,0.0,0.0,0.0
DQN,MiniGrid-DoorKey-8x8-v0,StochasticHigh,0.0,0.0,0.0
DQN,MiniGrid-DoorKey-8x8-v0,StochasticLow,0.0,0.0,0.0
DQN,MiniGrid-Empty-8x8-v0,Adversarial,0.0,0.0,0.0
DQN,MiniGrid-Empty-8x8-v0,DistanceNoise,0.0,0.6666666666666666,0.3333333333333333
DQN,MiniGrid-Empty-8x8-v0,Fatigue,0.0,0.3333333333333333,0.0
DQN,MiniGrid-Empty-8x8-v0,Realistic,0.0,0.3333333333333333,0.3333333333333333
DQN,MiniGrid-Empty-8x8-v0,StochasticHigh,0.0,0.0,0.0
DQN,MiniGrid-Empty-8x8-v0,StochasticLow,0.0,0.3333333333333333,0.6666666666666666
DQN,MiniGrid-LavaGapS7-v0,Adversarial,0.0,0.0,0.0
DQN,MiniGrid-LavaGapS7-v0,DistanceNoise,0.0,0.0,0.09999999999999999
DQN,MiniGrid-LavaGapS7-v0,Fatigue,0.0,0.08333333333333333,0.19999999999999998
DQN,MiniGrid-LavaGapS7-v0,Realistic,0.0,0.18333333333333335,0.06666666666666667
DQN,MiniGrid-LavaGapS7-v0,StochasticHigh,0.0,0.0,0.0
DQN,MiniGrid-LavaGapS7-v0,StochasticLow,0.0,0.08333333333333333,0.06666666666666667
PPO,MiniGrid-DoorKey-8x8-v0,Adversarial,0.0,0.0,0.0
PPO,MiniGrid-DoorKey-8x8-v0,DistanceNoise,0.0,0.0,0.0
PPO,MiniGrid-DoorKey-8x8-v0,Fatigue,0.0,0.0,0.0
PPO,MiniGrid-DoorKey-8x8-v0,Realistic,0.0,0.0,0.0
PPO,MiniGrid-DoorKey-8x8-v0,StochasticHigh,0.0,0.0,0.0
PPO,MiniGrid-DoorKey-8x8-v0,StochasticLow,0.0,0.0,0.0
PPO,MiniGrid-Empty-8x8-v0,Adversarial,0.0,0.0,0.0
PPO,MiniGrid-Empty-8x8-v0,DistanceNoise,0.3333333333333333,0.3333333333333333,0.3333333333333333
PPO,MiniGrid-Empty-8x8-v0,Fatigue,0.3333333333333333,0.3333333333333333,0.6666666666666666
PPO,MiniGrid-Empty-8x8-v0,Realistic,0.3333333333333333,0.6666666666666666,1.0
PPO,MiniGrid-Empty-8x8-v0,StochasticHigh,0.0,0.0,0.0
PPO,MiniGrid-Empty-8x8-v0,StochasticLow,0.0,0.6666666666666666,0.6666666666666666
PPO,MiniGrid-LavaGapS7-v0,Adversarial,0.06666666666666667,0.0,0.0
PPO,MiniGrid-LavaGapS7-v0,DistanceNoise,0.049999999999999996,0.0,0.0
PPO,MiniGrid-LavaGapS7-v0,Fatigue,0.0,0.0,0.0
PPO,MiniGrid-LavaGapS7-v0,Realistic,0.0,0.0,0.0
PPO,MiniGrid-LavaGapS7-v0,StochasticHigh,0.0,0.0,0.0
PPO,MiniGrid-LavaGapS7-v0,StochasticLow,0.0,0.0,0.0
