sweep_param,param_value,mode,human,success_rate,mean_reward,std_reward,train_seconds
N0,1,sparse,StochasticLow,0.0,0.0,0.0,21.14
N0,1,sparse,StochasticHigh,0.0,0.0,0.0,21.82
N0,1,sparse,Adversarial,0.0,0.0,0.0,37.26
N0,1,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,36.33
N0,1,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,33.93
N0,1,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,31.01
N0,1,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,34.4
N0,1,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,33.25
N0,1,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,33.6
N0,1,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,33.89
N0,1,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,34.04
N0,1,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,33.68
N0,1,bayesian,StochasticLow,1.0,1.6149950144443406,0.17269416702179602,35.31
N0,1,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,33.84
N0,1,bayesian,Adversarial,1.0,0.9500901935777917,0.009534283862007482,33.69
N0,1,bayesian,DistanceNoise,1.0,1.4268847490015983,0.1415636096067481,34.64
N0,1,bayesian,Fatigue,1.0,1.8502559703480272,0.01969925186283354,34.19
N0,1,bayesian,Realistic,1.0,1.504690759157966,0.13974129189557938,34.23
N0,2,sparse,StochasticLow,0.0,0.0,0.0,34.21
N0,2,sparse,StochasticHigh,0.0,0.0,0.0,34.27
N0,2,sparse,Adversarial,0.0,0.0,0.0,33.53
N0,2,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,38.6
N0,2,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,37.27
N0,2,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,36.09
N0,2,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,36.44
N0,2,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,37.54
N0,2,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,36.53
N0,2,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,37.7
N0,2,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,37.09
N0,2,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,36.91
N0,2,bayesian,StochasticLow,1.0,1.6085864480972991,0.1716219651282745,36.7
N0,2,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,37.04
N0,2,bayesian,Adversarial,0.0,12.800000000000045,1.7763568394002505e-15,36.78
N0,2,bayesian,DistanceNoise,0.0,-12.512738543903192,1.2791420237612872,37.66
N0,2,bayesian,Fatigue,1.0,1.8415012462765241,0.031174226406855535,36.64
N0,2,bayesian,Realistic,1.0,1.3866987185307247,0.1477429366831343,36.47
N0,5,sparse,StochasticLow,0.0,0.0,0.0,36.29
N0,5,sparse,StochasticHigh,0.0,0.0,0.0,36.42
N0,5,sparse,Adversarial,0.0,0.0,0.0,37.04
N0,5,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,37.0
N0,5,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,36.45
N0,5,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,37.58
N0,5,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,36.79
N0,5,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,37.12
N0,5,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,35.56
N0,5,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,34.66
N0,5,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,34.43
N0,5,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,34.34
N0,5,bayesian,StochasticLow,0.0,-16.239646230044052,1.2323681824655195,34.36
N0,5,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,34.68
N0,5,bayesian,Adversarial,1.0,0.9232672406954047,0.04010279547968392,34.42
N0,5,bayesian,DistanceNoise,1.0,1.342751199057566,0.150912397949523,33.69
N0,5,bayesian,Fatigue,1.0,1.5082822049310436,0.04423624187802258,34.02
N0,5,bayesian,Realistic,1.0,1.3487071298842046,0.14742191935355384,34.42
N0,10,sparse,StochasticLow,0.0,0.0,0.0,34.14
N0,10,sparse,StochasticHigh,0.0,0.0,0.0,34.45
