sweep_param,param_value,mode,human,success_rate,mean_reward,std_reward,train_seconds
magnitude,0.02,sparse,StochasticLow,0.0,0.0,0.0,39.41
magnitude,0.02,sparse,StochasticHigh,0.0,0.0,0.0,37.96
magnitude,0.02,sparse,Adversarial,0.0,0.0,0.0,38.4
magnitude,0.02,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,34.79
magnitude,0.02,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,34.99
magnitude,0.02,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,35.22
magnitude,0.02,naive,StochasticLow,1.0,1.6813281249999998,0.18867962264113208,36.51
magnitude,0.02,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,36.95
magnitude,0.02,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,35.51
magnitude,0.02,naive,DistanceNoise,0.0,-16.78315130414126,0.5252885865228227,34.82
magnitude,0.02,naive,Fatigue,1.0,1.861328125,0.0,34.55
magnitude,0.02,naive,Realistic,1.0,1.4601757827588986,0.13762449063748483,35.21
magnitude,0.02,bayesian,StochasticLow,0.0,-17.14441097077117,1.2596431810599158,36.93
magnitude,0.02,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,35.18
magnitude,0.02,bayesian,Adversarial,1.0,0.9433590200476256,0.006703169533110199,36.24
magnitude,0.02,bayesian,DistanceNoise,0.0,-4.202036635192457,0.48936609612904003,35.32
magnitude,0.02,bayesian,Fatigue,0.0,-22.322589272002727,0.5861635007899125,37.69
magnitude,0.02,bayesian,Realistic,1.0,1.3728902099557165,0.1506547930955298,34.23
magnitude,0.05,sparse,StochasticLow,0.0,0.0,0.0,33.96
magnitude,0.05,sparse,StochasticHigh,0.0,0.0,0.0,37.32
magnitude,0.05,sparse,Adversarial,0.0,0.0,0.0,34.67
magnitude,0.05,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,36.41
magnitude,0.05,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,34.79
magnitude,0.05,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,35.03
magnitude,0.05,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,34.88
magnitude,0.05,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,34.71
magnitude,0.05,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,35.43
magnitude,0.05,naive,DistanceNoise,1.0,1.4222427459462375,0.21135220087934478,38.12
magnitude,0.05,naive,Fatigue,1.0,1.7578125,0.0,34.38
magnitude,0.05,naive,Realistic,1.0,1.489467896866163,0.15115568142550684,34.89
magnitude,0.05,bayesian,StochasticLow,0.0,-16.78681917473864,1.114512734726669,35.03
magnitude,0.05,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,35.43
magnitude,0.05,bayesian,Adversarial,1.0,0.9421205042002245,0.020854112355869425,36.94
magnitude,0.05,bayesian,DistanceNoise,1.0,1.3938602180500514,0.22011175982627168,35.24
magnitude,0.05,bayesian,Fatigue,1.0,1.7405341028505426,0.02654210446235127,35.98
magnitude,0.05,bayesian,Realistic,1.0,1.3497070552138488,0.11641199256777378,35.73
magnitude,0.1,sparse,StochasticLow,0.0,0.0,0.0,34.12
magnitude,0.1,sparse,StochasticHigh,0.0,0.0,0.0,35.29
magnitude,0.1,sparse,Adversarial,0.0,0.0,0.0,35.81
magnitude,0.1,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,35.66
magnitude,0.1,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,49.62
magnitude,0.1,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,50.58
magnitude,0.1,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,50.59
magnitude,0.1,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,53.04
magnitude,0.1,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,52.69
magnitude,0.1,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,47.26
magnitude,0.1,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,55.18
magnitude,0.1,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,51.84
magnitude,0.1,bayesian,StochasticLow,1.0,1.6085864480972991,0.1716219651282745,49.71
magnitude,0.1,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,45.68
magnitude,0.1,bayesian,Adversarial,0.0,12.800000000000045,1.7763568394002505e-15,44.23
magnitude,0.1,bayesian,DistanceNoise,0.0,-12.512738543903192,1.2791420237612872,53.72
magnitude,0.1,bayesian,Fatigue,1.0,1.8415012462765241,0.031174226406855535,50.08
magnitude,0.1,bayesian,Realistic,1.0,1.3866987185307247,0.1477429366831343,52.13
magnitude,0.2,sparse,StochasticLow,0.0,0.0,0.0,48.27
magnitude,0.2,sparse,StochasticHigh,0.0,0.0,0.0,51.84
magnitude,0.2,sparse,Adversarial,0.0,0.0,0.0,54.0
magnitude,0.2,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,60.06
magnitude,0.2,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,56.5
magnitude,0.2,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,54.07
magnitude,0.2,naive,StochasticLow,1.0,1.6813281249999998,0.18867962264113208,50.4
magnitude,0.2,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,49.11
magnitude,0.2,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,49.7
magnitude,0.2,naive,DistanceNoise,1.0,1.2617418859340788,0.2649794951582063,52.54
magnitude,0.2,naive,Fatigue,1.0,1.861328125,0.0,52.62
magnitude,0.2,naive,Realistic,1.0,1.5566364051943893,0.18808935150020356,49.07
magnitude,0.2,bayesian,StochasticLow,1.0,1.6085864480972991,0.1716219651282745,47.25
magnitude,0.2,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,47.87
magnitude,0.2,bayesian,Adversarial,1.0,0.9421205042002245,0.020854112355869425,44.98
magnitude,0.2,bayesian,DistanceNoise,1.0,1.3485329526149739,0.15173981053595434,50.22
magnitude,0.2,bayesian,Fatigue,1.0,1.8415012462765241,0.031174226406855535,54.2
magnitude,0.2,bayesian,Realistic,1.0,1.4312379639774417,0.15242479203803114,58.24
magnitude,0.5,sparse,StochasticLow,0.0,0.0,0.0,52.94
magnitude,0.5,sparse,StochasticHigh,0.0,0.0,0.0,52.06
magnitude,0.5,sparse,Adversarial,0.0,0.0,0.0,56.8
magnitude,0.5,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,55.53
magnitude,0.5,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,55.94
magnitude,0.5,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,48.44
magnitude,0.5,naive,StochasticLow,1.0,1.6813281249999998,0.18867962264113208,43.25
magnitude,0.5,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,46.03
magnitude,0.5,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,52.27
magnitude,0.5,naive,DistanceNoise,0.0,-16.69689738983515,0.8258034646770238,47.68
magnitude,0.5,naive,Fatigue,1.0,1.5238692200657462,0.035935722134898464,49.77
magnitude,0.5,naive,Realistic,1.0,1.5867600458499176,0.15038547970821972,14133.89
magnitude,0.5,bayesian,StochasticLow,1.0,1.5185838617106466,0.2638318054355791,32.01
magnitude,0.5,bayesian,StochasticHigh,0.0,7.834999999999982,0.678435700711571,28.76
magnitude,0.5,bayesian,Adversarial,0.0,0.7623240607802402,0.7745640279143376,43.29
magnitude,0.5,bayesian,DistanceNoise,1.0,1.336321338005514,0.19580891720773402,45.57
magnitude,0.5,bayesian,Fatigue,1.0,1.8415012462765241,0.031174226406855535,44.65
magnitude,0.5,bayesian,Realistic,1.0,1.4674240417988014,0.2182708676444805,46.0
