sweep_param,param_value,mode,human,success_rate,mean_reward,std_reward,train_seconds
w0,0.1,sparse,StochasticLow,0.0,0.0,0.0,15.84
w0,0.1,sparse,StochasticHigh,0.0,0.0,0.0,19.14
w0,0.1,sparse,Adversarial,0.0,0.0,0.0,23.34
w0,0.1,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,22.46
w0,0.1,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,21.87
w0,0.1,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,23.62
w0,0.1,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,22.06
w0,0.1,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,21.45
w0,0.1,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,21.56
w0,0.1,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,21.68
w0,0.1,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,21.48
w0,0.1,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,22.02
w0,0.1,bayesian,StochasticLow,1.0,1.5953090861354209,0.17187259412286018,21.21
w0,0.1,bayesian,StochasticHigh,0.0,1.5670000000000013,0.13568714014231426,22.33
w0,0.1,bayesian,Adversarial,1.0,0.9492968040095251,0.0013406339066220215,24.19
w0,0.1,bayesian,DistanceNoise,1.0,1.3407243993517055,0.15494939999407537,24.19
w0,0.1,bayesian,Fatigue,1.0,1.8256397432977434,0.05611360753234,23.13
w0,0.1,bayesian,Realistic,1.0,1.4478494105741568,0.11534237941780054,21.25
w0,0.3,sparse,StochasticLow,0.0,0.0,0.0,21.32
w0,0.3,sparse,StochasticHigh,0.0,0.0,0.0,22.07
w0,0.3,sparse,Adversarial,0.0,0.0,0.0,21.15
w0,0.3,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,20.97
w0,0.3,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,20.85
w0,0.3,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,20.94
w0,0.3,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,20.77
w0,0.3,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,21.42
w0,0.3,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,21.54
w0,0.3,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,22.06
w0,0.3,naive,Fatigue,0.0,-23.47418725971022,0.7638258114617865,24.77
w0,0.3,naive,Realistic,0.0,-17.02557349873745,0.7780215358738731,21.34
w0,0.3,bayesian,StochasticLow,1.0,1.6019477671163602,0.171416651611782,21.59
w0,0.3,bayesian,StochasticHigh,0.0,4.700999999999994,0.4070614204269453,22.48
w0,0.3,bayesian,Adversarial,0.0,0.4573944364681456,0.4647384167486054,20.64
w0,0.3,bayesian,DistanceNoise,1.0,1.3528799773171423,0.18398693410901895,22.12
w0,0.3,bayesian,Fatigue,1.0,1.8335704947871334,0.04364391696959781,21.01
w0,0.3,bayesian,Realistic,1.0,1.416336314414624,0.15822220969781828,20.93
w0,0.5,sparse,StochasticLow,0.0,0.0,0.0,21.66
w0,0.5,sparse,StochasticHigh,0.0,0.0,0.0,20.82
w0,0.5,sparse,Adversarial,0.0,0.0,0.0,20.91
w0,0.5,sparse,DistanceNoise,1.0,0.9578124999999998,1.1102230246251565e-16,21.25
w0,0.5,sparse,Fatigue,1.0,0.9578124999999998,1.1102230246251565e-16,20.88
w0,0.5,sparse,Realistic,1.0,0.9578124999999998,1.1102230246251565e-16,23.01
w0,0.5,naive,StochasticLow,1.0,1.6378125000000001,0.23151673805580447,20.98
w0,0.5,naive,StochasticHigh,0.0,15.669999999999964,1.356871401423142,20.96
w0,0.5,naive,Adversarial,0.0,25.60000000000009,3.552713678800501e-15,20.97
w0,0.5,naive,DistanceNoise,0.0,-16.92844178081633,0.5998959600595362,20.94
